               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.033527,           0.0081157,            0.012876,             0.99002,             0.99619,               0.995,              0.6501,            0.028389,           0.0039319,           0.0072883,           0.0088021,           0.0088021,           0.0088021
                 123,            0.032017,           0.0078673,            0.014119,             0.86979,             0.96499,             0.95246,             0.66425,             0.02561,           0.0039735,            0.012408,           0.0087922,           0.0087922,           0.0087922
                 124,            0.033432,           0.0090557,            0.016132,             0.82826,             0.97565,             0.91469,              0.6066,            0.022158,           0.0038602,            0.032688,           0.0087823,           0.0087823,           0.0087823
                 125,            0.030942,           0.0080691,            0.013863,             0.82789,             0.97389,             0.94686,             0.67106,            0.031162,           0.0041079,            0.027871,           0.0087724,           0.0087724,           0.0087724
                 126,            0.035716,            0.008934,            0.012104,             0.91435,             0.93451,             0.99341,             0.71899,            0.023988,           0.0038359,            0.016932,           0.0087625,           0.0087625,           0.0087625
                 127,            0.028827,           0.0086576,             0.01281,             0.98998,             0.98099,             0.99421,             0.70781,            0.028978,           0.0039783,           0.0089247,           0.0087526,           0.0087526,           0.0087526
                 128,            0.035424,           0.0078989,             0.01323,             0.97292,             0.98211,             0.99262,             0.64056,            0.027449,           0.0039211,            0.007193,           0.0087427,           0.0087427,           0.0087427
                 129,             0.03118,           0.0071431,            0.012253,             0.97393,             0.98333,             0.99124,             0.71293,            0.030276,           0.0038207,           0.0070742,           0.0087328,           0.0087328,           0.0087328
                 130,            0.032141,           0.0093182,            0.014817,             0.98519,             0.98333,             0.99421,             0.74293,            0.020708,           0.0037084,           0.0062013,           0.0087229,           0.0087229,           0.0087229
                 131,            0.027393,           0.0078714,            0.013222,             0.97023,             0.99699,             0.99421,             0.75306,            0.027556,             0.00409,           0.0059047,            0.008713,            0.008713,            0.008713
                 132,            0.033058,           0.0089048,            0.014084,             0.94085,             0.95278,             0.99103,             0.66617,             0.02846,           0.0037617,           0.0079786,           0.0087031,           0.0087031,           0.0087031
                 133,            0.029557,            0.007748,            0.013379,             0.89858,             0.94659,             0.99348,             0.71578,              0.0242,           0.0037719,            0.006189,           0.0086932,           0.0086932,           0.0086932
